Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,1.78,0.13,3.43,30000,2,0,default
2,1.76,0.1,3.42,30000,2,0,default
4,1.76,0.11,3.42,30000,2,0,default
8,1.76,0.1,3.42,30000,2,0,default
16,1.84,0.15,3.53,30000,2,0,default
32,1.85,0.1,3.59,30000,2,0,default
64,2.27,0.11,4.42,30000,2,0,default
128,2.31,0.11,4.5,30000,2,0,default
256,2.58,0.14,5.03,30000,2,0,default
512,2.7,0.16,5.24,30000,2,0,default
1024,2.8,0.22,5.38,30000,2,0,default
2048,3.1,0.2,6.0,30000,2,0,default
4096,3.53,0.26,6.81,30000,2,0,default
8192,4.16,0.42,7.91,30000,2,0,default
16384,4.38,0.89,7.88,30000,2,0,default
32768,6.14,1.87,10.41,30000,2,0,default
65536,9.02,3.75,14.28,30000,2,0,default
131072,20.32,18.78,21.85,30000,2,0,default
262144,34.64,33.12,36.16,30000,2,0,default
524288,64.02,62.48,65.56,30000,2,0,default
1,1.03,0.66,1.31,30000,4,0,default
2,1.03,0.65,1.31,30000,4,0,default
4,1.03,0.65,1.31,30000,4,0,default
8,1.04,0.7,1.31,30000,4,0,default
16,1.12,0.84,1.31,30000,4,0,default
32,1.48,1.25,1.8,30000,4,0,default
64,1.5,1.26,1.83,30000,4,0,default
128,1.64,1.34,2.03,30000,4,0,default
256,1.7,1.36,2.12,30000,4,0,default
512,1.88,1.41,2.4,30000,4,0,default
1024,2.3,1.28,3.36,30000,4,0,default
2048,2.21,1.02,3.39,30000,4,0,default
4096,3.34,1.38,5.27,30000,4,0,default
8192,3.01,1.18,4.88,30000,4,0,default
16384,4.08,1.7,6.17,30000,4,0,default
32768,9.24,5.77,11.96,30000,4,0,default
65536,13.83,8.08,17.78,30000,4,0,default
131072,25.67,13.36,32.47,30000,4,0,default
262144,51.7,33.2,61.2,30000,4,0,default
524288,104.12,73.7,117.6,30000,4,0,default
1,2.16,0.56,3.73,30000,8,0,default
2,2.11,0.57,3.65,30000,8,0,default
4,2.16,0.56,3.71,30000,8,0,default
8,2.22,0.57,3.89,30000,8,0,default
16,2.37,0.58,4.13,30000,8,0,default
32,2.4,0.58,4.18,30000,8,0,default
64,2.94,1.09,4.81,30000,8,0,default
128,3.07,1.15,5.03,30000,8,0,default
256,3.26,1.2,5.43,30000,8,0,default
512,3.37,0.78,5.98,30000,8,0,default
1024,3.92,0.87,7.0,30000,8,0,default
2048,4.65,1.09,8.22,30000,8,0,default
4096,5.54,1.66,9.39,30000,8,0,default
8192,7.63,2.91,12.34,30000,8,0,default
16384,8.02,4.74,12.27,30000,8,0,default
32768,10.97,5.9,19.18,30000,8,0,default
65536,17.55,8.83,32.07,30000,8,0,default
131072,33.48,19.53,56.88,30000,8,0,default
262144,71.51,52.62,106.76,30000,8,0,default
524288,141.66,106.39,206.28,30000,8,0,default
1,2.61,0.78,4.38,30000,16,0,default
2,2.64,0.76,4.47,30000,16,0,default
4,2.83,0.76,4.78,30000,16,0,default
8,2.77,0.79,4.69,30000,16,0,default
16,2.88,0.89,4.77,30000,16,0,default
32,3.46,1.38,5.53,30000,16,0,default
64,3.67,1.49,5.84,30000,16,0,default
128,3.99,1.57,6.41,30000,16,0,default
256,4.16,1.22,7.16,30000,16,0,default
512,4.94,1.52,8.36,30000,16,0,default
1024,6.08,2.18,9.98,30000,16,0,default
2048,8.39,3.48,13.22,30000,16,0,default
4096,11.45,6.14,16.78,30000,16,0,default
8192,17.84,11.56,24.1,30000,16,0,default
16384,18.33,1.74,31.22,30000,16,0,default
32768,17.05,7.2,31.89,30000,16,0,default
65536,31.61,17.31,53.2,30000,16,0,default
131072,65.29,25.62,99.27,30000,16,0,default
262144,148.8,42.91,188.53,30000,16,0,default
524288,247.18,80.35,403.86,30000,16,0,default
1,2.95,0.91,4.95,30000,32,0,default
2,3.28,0.92,5.55,30000,32,0,default
4,3.18,0.92,5.4,30000,32,0,default
8,3.33,0.96,5.67,30000,32,0,default
16,3.88,1.48,6.22,30000,32,0,default
32,4.08,1.78,6.38,30000,32,0,default
64,4.49,1.99,6.97,30000,32,0,default
128,4.88,1.68,8.12,30000,32,0,default
256,5.73,2.06,9.41,30000,32,0,default
512,8.95,0.39,17.42,30000,32,0,default
1024,9.71,0.34,18.69,30000,32,0,default
2048,11.44,0.5,19.94,30000,32,0,default
4096,14.67,0.7,24.37,30000,32,0,default
8192,35.79,25.63,45.57,30000,32,0,default
16384,16.36,4.1,33.46,30000,32,0,default
32768,30.71,7.49,56.0,30000,32,0,default
65536,61.42,21.07,100.51,30000,32,0,default
131072,125.75,29.41,187.81,30000,32,0,default
262144,418.02,56.14,665.43,30000,32,0,default
524288,530.87,276.74,720.21,30000,32,0,default
1,1.93,0.95,9.79,30000,64,0,default
2,1.81,0.92,9.36,30000,64,0,default
4,1.89,0.97,9.46,30000,64,0,default
8,2.16,1.2,9.83,30000,64,0,default
16,2.4,1.31,9.85,30000,64,0,default
32,2.71,1.37,10.48,30000,64,0,default
64,3.19,1.35,11.17,30000,64,0,default
128,3.95,1.83,12.14,30000,64,0,default
256,5.01,2.51,13.31,30000,64,0,default
512,14.47,0.36,34.81,30000,64,0,default
1024,16.22,0.39,37.26,30000,64,0,default
2048,20.36,0.44,41.36,30000,64,0,default
4096,28.37,0.69,52.93,30000,64,0,default
8192,45.49,1.1,79.12,30000,64,0,default
16384,28.54,4.38,61.59,30000,64,0,default
32768,45.68,6.64,106.56,30000,64,0,default
65536,90.62,17.19,199.54,30000,64,0,default
131072,180.71,31.04,422.94,30000,64,0,default
262144,453.5,60.68,718.07,30000,64,0,default
524288,952.39,128.49,1423.72,30000,64,0,default
1,5.91,1.05,23.89,30000,128,0,default
2,6.29,1.07,24.74,30000,128,0,default
4,6.49,1.46,25.02,30000,128,0,default
8,6.17,1.51,25.15,30000,128,0,default
16,6.38,1.72,25.82,30000,128,0,default
32,6.11,1.79,27.69,30000,128,0,default
64,6.6,2.28,28.43,30000,128,0,default
128,7.49,2.63,29.96,30000,128,0,default
256,10.76,3.16,35.14,30000,128,0,default
512,32.07,0.5,76.81,30000,128,0,default
1024,36.07,0.57,82.17,30000,128,0,default
2048,49.01,0.71,98.94,30000,128,0,default
4096,65.39,1.11,122.89,30000,128,0,default
8192,103.26,1.58,178.83,30000,128,0,default
16384,61.9,5.19,130.8,30000,128,0,default
32768,94.69,7.84,218.17,30000,128,0,default
65536,161.98,15.8,397.86,30000,128,0,default
131072,351.53,22.1,764.49,30000,128,0,default
262144,847.21,127.03,1542.86,30000,128,0,default
524288,1947.6,515.93,3196.81,30000,128,0,default
1,1.19,0.88,1.5,30000,256,0,default
2,1.72,1.46,2.15,30000,256,0,default
4,1.97,1.65,2.45,30000,256,0,default
8,2.49,1.9,3.12,30000,256,0,default
16,2.99,1.9,4.18,30000,256,0,default
32,4.2,2.62,5.87,30000,256,0,default
64,6.28,3.97,8.82,30000,256,0,default
128,10.16,6.75,13.84,30000,256,0,default
256,15.47,11.48,19.89,30000,256,0,default
512,84.14,0.35,167.06,30000,256,0,default
1024,93.25,0.46,181.99,30000,256,0,default
2048,126.74,0.55,226.64,30000,256,0,default
4096,164.9,0.87,283.03,30000,256,0,default
8192,244.53,1.43,406.82,30000,256,0,default
16384,127.03,5.53,252.1,30000,256,0,default
32768,179.89,8.33,419.29,30000,256,0,default
65536,325.55,17.63,781.86,30000,256,0,default
131072,624.79,68.84,1534.21,30000,256,0,default
262144,1922.81,112.4,3735.48,30000,256,0,default
524288,4543.73,532.61,7855.32,30000,256,0,default
1,1.75,0.1,3.39,30000,2,1,basic linear
2,1.74,0.1,3.38,30000,2,1,basic linear
4,1.75,0.1,3.39,30000,2,1,basic linear
8,1.77,0.1,3.44,30000,2,1,basic linear
16,1.75,0.1,3.4,30000,2,1,basic linear
32,1.84,0.1,3.58,30000,2,1,basic linear
64,2.26,0.11,4.41,30000,2,1,basic linear
128,2.3,0.12,4.48,30000,2,1,basic linear
256,2.58,0.13,5.03,30000,2,1,basic linear
512,2.64,0.15,5.13,30000,2,1,basic linear
1024,2.79,0.21,5.37,30000,2,1,basic linear
2048,3.08,0.2,5.97,30000,2,1,basic linear
4096,3.53,0.25,6.8,30000,2,1,basic linear
8192,4.16,0.41,7.9,30000,2,1,basic linear
16384,4.37,0.88,7.85,30000,2,1,basic linear
